site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,1.137172,922367.3298,0.92236733,1.232884083
Nat-ag 5 old,1.090423,876513.8633,0.876513863,1.244045355
Half 9,1.111939,897016.1225,0.897016123,1.239597564
Half 2,1.412758,891357.9035,0.891357904,1.584950326
Ag-nat 8,2.336567,887463.2547,0.887463255,2.632860558
Nat-ag 5,1.27251,1056407.507,1.056407507,1.204563572
Half 7,1.019209,973465.7319,0.973465732,1.046990116
Half 10,0.33679,812610.4313,0.812610431,0.414454438
Ag-nat 3,1.559152,861723.6319,0.861723632,1.809341119
Nat QC 7,1.181003,938918.3375,0.938918338,1.257833565
Nat-ag 6,1.246738,938635.1367,0.938635137,1.32824561
Half 6,0.693801,909774.4449,0.909774445,0.762607703
Ag-nat 2,1.223889,1008743.543,1.008743543,1.213280629
Nat-ag 9,1.538483,885385.5278,0.885385528,1.73764191
Ag 3,2.64487,991543.599,0.991543599,2.667426831
Nat QC 6,1.108848,865427.6678,0.865427668,1.281271724
Nat QC 9,5.112926,907811.5271,0.907811527,5.632144831
Nat-ag 2,0.89929,976517.3901,0.97651739,0.920915499
Nat-ag 7,0.670046,909016.221,0.909016221,0.737111159
Ag-nat 5,1.790871,942781.9609,0.942781961,1.899560104
Ag-nat 7,1.097949,929746.7254,0.929746725,1.18091193
Ag 5,1.34747,856362.3481,0.856362348,1.573481136
Nat QC 4,1.668716,874814.634,0.874814634,1.9075081
Nat-ag 4,1.510392,924969.5959,0.924969596,1.632909889
Half 5,0.102792,869657.9321,0.869657932,0.118198197
Nat QC 3,0.984512,842833.2317,0.842833232,1.168098223
