site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,1.338411,1295203.568,1.295203568,1.033359568
Nat-ag 5 old,1.290517,1240179.609,1.240179609,1.040588791
Half 9,1.312034,1264782.458,1.264782458,1.037359422
Half 2,1.75713,1257705.28,1.25770528,1.397092012
Ag-nat 8,3.638687,1253171.214,1.253171214,2.903583293
Nat QC 1 alt,0.416881,1226377.575,1.226377575,0.339928753
Nat-ag 5,1.472509,1456051.613,1.456051613,1.01130275
Half 7,1.221431,1356218.536,1.356218536,0.900615179
Half 10,0.437882,1163495.551,1.163495551,0.376350386
Ag-nat 3,2.21976,1222204.508,1.222204508,1.816193596
Nat QC 7,1.391848,1314178.229,1.314178229,1.059101398
Nat QC 1 old,0.180566,1214016.46,1.21401646,0.148734392
Nat-ag 6,1.95176,1314486.752,1.314486752,1.484807661
Half 6,1.018567,1279498.151,1.279498151,0.796067583
Ag-nat 2,1.423936,1398855.398,1.398855398,1.017929374
Nat-ag 9,1.840875,1250823.985,1.250823985,1.471729853
Ag 3,3.881831,1378003.875,1.378003875,2.816995707
Nat QC 6,1.326798,1226714.813,1.226714813,1.081586352
Nat QC 9,7.165006,1277197.458,1.277197458,5.609943831
Nat-ag 2,1.581104,1359806.422,1.359806422,1.162741972
Nat-ag 7,0.770198,1279182.318,1.279182318,0.602101819
Ag-nat 5,2.321591,1319701.113,1.319701113,1.759179391
Ag-nat 7,1.303735,1303933.348,1.303933348,0.999847885
Ag 5,1.778836,1215810.632,1.215810632,1.463086399
Nat QC 4,2.499806,1237978.754,1.237978754,2.019264056
Ag-nat 9,0.554156,1268668.968,1.268668968,0.436801099
Nat-ag 4,1.825223,1297896.846,1.297896846,1.406292808
Half 5,0.768472,1231764.943,1.231764943,0.623878772
Nat QC 3,1.63429,1199761.231,1.199761231,1.362179372
