site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,0.736991,365057.6256,0.365057626,2.018834694
Nat-ag 5 old,0.690036,337545.323,0.337545323,2.044276584
Half 9,0.711761,349846.5647,0.349846565,2.034494752
Half 2,0.675339,346997.028,0.346997028,1.946238571
Ag-nat 8,0.874326,344383.3882,0.344383388,2.538815837
Nat-ag 5,0.871604,445481.8214,0.445481821,1.956542238
Half 7,0.609682,396281.3693,0.396281369,1.538507856
Half 10,0.130446,299203.2203,0.29920322,0.435977928
Ag-nat 3,0.517797,329115.5455,0.329115546,1.573298518
Nat QC 7,0.739934,376750.4828,0.376750483,1.96398952
Nat-ag 6,0.63113,375190.2031,0.375190203,1.682160128
Ag-nat 2,0.823666,416883.0262,0.416883026,1.975772455
Nat-ag 9,0.888067,342869.9441,0.342869944,2.59009871
Ag 3,1.112133,406874.2093,0.406874209,2.733358307
Nat QC 6,0.686626,331209.7824,0.331209782,2.073084904
Nat QC 9,2.527841,357390.6352,0.357390635,7.073047671
Nat-ag 7,0.469752,357046.8538,0.357046854,1.315659262
Ag-nat 5,0.757618,377306.42,0.37730642,2.007964773
Ag-nat 7,0.677621,369666.1833,0.369666183,1.83306191
Ag 5,0.340775,325820.943,0.325820943,1.045896549
Nat QC 4,0.969695,336830.1673,0.336830167,2.878884061
Nat-ag 4,0.81893,367417.765,0.367417765,2.228879706
Nat QC 3,0.504269,317338.6253,0.317338625,1.589056484
