site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,1.736862,1730827.366,1.730827366,1.00348656
Nat-ag 5 old,1.490616,1666633.003,1.666633003,0.894387665
Half 9,1.512129,1695336.493,1.695336493,0.891934437
Half 2,2.082704,1686838.779,1.686838779,1.234678753
Ag-nat 8,4.556675,1681663.337,1.681663337,2.709623799
Nat QC 1 alt,0.748563,1650365.512,1.650365512,0.453574069
Nat-ag 5,1.672509,1918483.314,1.918483314,0.871787098
Half 7,1.423303,1801753.931,1.801753931,0.789954153
Half 10,0.917536,1577168.367,1.577168367,0.581761605
Ag-nat 3,3.016672,1645471.493,1.645471493,1.833317692
Nat QC 7,1.596838,1752223.598,1.752223598,0.911320908
Nat QC 1 old,1.576398,1636108.305,1.636108305,0.963504675
Nat-ag 6,2.514336,1753111.321,1.753111321,1.434213544
Half 6,1.333908,1712005.369,1.712005369,0.779149426
Ag-nat 2,2.087639,1851754.886,1.851754886,1.127384092
Nat-ag 9,2.52851,1679049.587,1.679049587,1.505917407
Ag 3,4.87132,1827230.168,1.827230168,2.665958611
Nat QC 6,2.583024,1650787.81,1.65078781,1.564721998
Nat QC 9,9.016818,1709368.104,1.709368104,5.274942231
Nat-ag 2,2.017629,1805859.217,1.805859217,1.117268157
Nat-ag 7,0.871768,1712136.033,1.712136033,0.509169822
Ag-nat 5,2.797315,1759407.847,1.759407847,1.589918452
Ag-nat 7,1.506642,1740896.914,1.740896914,0.8654401
Ag 5,2.000939,1638047.382,1.638047382,1.221539146
Nat QC 4,3.201713,1663927.518,1.663927518,1.924190186
Ag-nat 9,0.908959,1699687.11,1.69968711,0.534780193
Nat-ag 4,2.134811,1733612.45,1.73361245,1.231423436
Half 5,1.185595,1656654.799,1.656654799,0.715656032
Nat QC 3,3.160345,1619476.331,1.619476331,1.951461062
