site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,3.136542,2790437.789,2.790437789,1.124032226
Nat-ag 5 old,1.89082,2707902.776,2.707902776,0.698259929
Half 9,2.501896,2744807.64,2.74480764,0.911501398
Ag 6,1.815527,2915619.007,2.915619007,0.622690069
Half 2,2.717317,2733467.312,2.733467312,0.994091639
Ag-nat 8,6.683476,2727005.764,2.727005764,2.450847772
Nat QC 1 alt,2.96772,2686703.961,2.686703961,1.104595089
Nat-ag 3,0.063093,2848682.889,2.848682889,0.02214813
Nat-ag 5,2.072651,3031709.458,3.031709458,0.68365753
Half 7,2.636861,2881177.723,2.881177723,0.915202481
Half 10,1.933422,2592876.984,2.592876984,0.745666691
Ag-nat 3,4.238325,2680373.026,2.680373026,1.581244461
Nat QC 7,4.327559,2816678.67,2.81667867,1.536404932
Nat QC 1 old,5.457188,2668654.108,2.668654108,2.044921439
Nat-ag 6,3.729102,2818709.4,2.8187094,1.322982071
Half 6,1.95319,2765371.293,2.765371293,0.706302985
Ag-nat 2,3.952712,2945916.98,2.94591698,1.341759468
Nat-ag 9,3.927679,2723862.188,2.723862188,1.441952173
Ag 3,6.51069,2914048.172,2.914048172,2.234242406
Nat QC 6,4.437321,2687291.613,2.687291613,1.651224221
Nat QC 9,13.143512,2762071.064,2.762071064,4.758571266
Nat-ag 2,2.531872,2886297.981,2.886297981,0.877203954
Nat-ag 7,1.082114,2766406.273,2.766406273,0.391162358
Ag-nat 5,3.698254,2827184.051,2.827184051,1.308105144
Ag-nat 7,1.938767,2803157.62,2.80315762,0.691636812
Ag 5,2.426639,2670885.343,2.670885343,0.908552292
Nat QC 4,5.302019,2704182.902,2.704182902,1.960673221
Ag-nat 9,1.518907,2750084.531,2.750084531,0.552312841
Nat-ag 4,2.869011,2793392.672,2.793392672,1.027070425
Half 5,1.921348,2694801.006,2.694801006,0.712983258
Nat QC 3,4.454739,2647267.836,2.647267836,1.682768528
