site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,0.336095,58898.29695,0.058898297,5.706361939
Nat-ag 5 old,0.286796,49727.45322,0.049727453,5.767357494
Half 9,0.311053,53827.813,0.053827813,5.778666876
Half 2,0.264571,53586.04695,0.053586047,4.937311391
Ag-nat 8,0.196991,52283.92242,0.052283922,3.767716554
Nat-ag 5,0.470538,85706.38142,0.085706381,5.490116281
Half 7,0.193692,69981.78622,0.069981786,2.767748731
Nat QC 7,0.254675,65673.42574,0.065673426,3.87790034
Nat-ag 6,0.143215,62505.07961,0.06250508,2.291253781
Ag-nat 2,0.422826,76173.31419,0.076173314,5.550841584
Nat-ag 9,0.298468,51502.85808,0.051502858,5.795173533
Ag 3,0.195524,72999.03844,0.072999038,2.67844624
Nat QC 6,0.26519,48045.9942,0.048045994,5.51950281
Nat QC 9,0.47693,58028.46247,0.058028462,8.218897756
Nat-ag 7,0.269536,56228.00957,0.05622801,4.793625136
Ag-nat 5,0.356962,62981.22182,0.062981222,5.667752858
Ag-nat 7,0.134469,60511.08217,0.060511082,2.222221041
Nat QC 4,0.202002,49855.36489,0.049855365,4.051760537
Nat-ag 4,0.229487,60577.03628,0.060577036,3.788349746
