site,total_kms,area_m2,area_km2,road_density
Nat-ag 1,0.536733,180584.177,0.180584177,2.972203927
Nat-ag 5 old,0.489079,162242.5667,0.162242567,3.014492497
Half 9,0.51167,170443.3462,0.170443346,3.001994571
Half 2,0.472196,168961.9621,0.168961962,2.79468819
Ag-nat 8,0.557091,166986.3388,0.166986339,3.33614716
Nat-ag 5,0.671312,234200.3146,0.234200315,2.866400932
Half 7,0.397385,201812.3647,0.201812365,1.969081531
Half 10,0.02305,136681.142,0.136681142,0.168640675
Ag-nat 3,0.241919,156985.2376,0.156985238,1.54103025
Nat QC 7,0.511588,189837.8027,0.189837803,2.69486895
Nat-ag 6,0.415593,187532.3182,0.187532318,2.216114022
Ag-nat 2,0.623383,215134.3479,0.215134348,2.897645151
Nat-ag 9,0.499589,165792.8315,0.165792832,3.013332938
Ag 3,0.68927,208614.7625,0.208614763,3.304032714
Nat QC 6,0.472331,158264.5644,0.158264564,2.98443939
Nat QC 9,1.089454,176345.0261,0.176345026,6.177968407
Nat-ag 7,0.369602,175243.6261,0.175243626,2.109075281
Ag-nat 5,0.557442,188750.0412,0.188750041,2.953334455
Ag-nat 7,0.446193,183732.5806,0.183732581,2.428491444
Nat QC 4,0.64545,161993.472,0.161993472,3.984419817
Nat-ag 4,0.436801,182739.2979,0.182739298,2.39029593
Nat QC 3,0.238532,148771.9656,0.148771966,1.603339709
