,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0.001039501,0.682432432,0.006756757,0.244282744,0.065488565,0,1731600
2,Nat-ag 3,0,0.007088608,0.659746835,0,0.322531646,0.007088608,0.003544304,1777500
3,Nat-ag 6,0,0.019467213,0.8125,0,0.12807377,0.038422131,0.001536885,1756800
4,Nat-ag 2,0,0.003479125,0.688369781,0.007952286,0.25,0.047713718,0.002485089,1810800
5,Nat-ag 5 old,0,0.003791983,0.699891658,0,0.263271939,0.03304442,0,1661400
6,Nat-ag 5,0.000470367,0.149106303,0.523047977,0,0.290686736,0.036688617,0,1913400
7,Half 6,0,0.119810825,0.808197583,0,0.045717288,0.025748818,0.000525486,1712700
8,Nat-ag 7,0,0.079072219,0.716921455,0.001581444,0.174486031,0.027938851,0,1707300
9,Ag-nat 9,0.282241015,0.154862579,0.42653277,0.091966173,0.019027484,0.025369979,0,1702800
10,Half 9,0.196172249,0.163211058,0.547049442,0.01010101,0.041467305,0.041998937,0,1692900
11,Half 7,0.096951524,0.042978511,0.75962019,0.003498251,0.070464768,0.018490755,0.007996002,1800900
12,Ag-nat 2,0.442391833,0.007778318,0.230432669,0,0.254253768,0.062226544,0.002916869,1851300
13,Ag-nat 5,0.137807377,0.073258197,0.46875,0.025102459,0.228483607,0.061987705,0.004610656,1756800
14,Nat-ag 4,0.009321595,0.051268773,0.510616261,0,0.364577939,0.062661833,0.001553599,1737900
15,Ag 6,0.037438424,0.286699507,0.206896552,0,0.098029557,0.370935961,0,1827000
16,Half 10,0.057517084,0.243166287,0.51594533,0.029612756,0.008542141,0.145216401,0,1580400
17,Nat-ag 9,0,0.027375201,0.684380032,0,0.054213634,0.228126677,0.005904455,1676700
18,Ag-nat 7,0.255946225,0.36401241,0.287487073,0,0.015511892,0.077042399,0,1740600
19,Half 5,0.225474255,0.083468835,0.647154472,0,0.01897019,0.021138211,0.003794038,1660500
20,Half 2,0.1339381,0.170757737,0.644610459,0,0.011205977,0.039487727,0,1686600
21,Ag-nat 3,0.356441048,0.19650655,0.384825328,0,0,0.062227074,0,1648800
22,Ag 3,0.392311483,0.358304584,0.104977822,0,0.012814194,0.101527846,0.030064071,1826100
23,Ag 5,0,0.443037975,0.47330765,0,0.028068244,0.055586131,0,1635300
24,Ag-nat 8,0,0.492753623,0.438539989,0.000536769,0.013955985,0.054213634,0,1676700
25,Nat-ag 8,0,0.004812834,0.675935829,0,0.058823529,0.248128342,0.012299465,1683000
26,Nat QC 7,0,0.008731382,0.985618901,0,0.001027221,0.002054443,0.002568053,1752300
27,Nat QC 6,0,0.007092199,0.967266776,0,0,0.019639935,0.006001091,1649700
28,Nat QC 4,0,0,0.962080173,0,0.005417118,0.031419285,0.001083424,1661400
29,Nat QC 3,0,0,0.961218837,0,0.009418283,0.029362881,0,1624500
30,Nat QC 1 alt,0,0,0.990190736,0,0.00653951,0,0.003269755,1651500
31,Nat QC 1 old,0,0.02530253,0.944444444,0,0.003850385,0.02090209,0.00550055,1636200
32,Nat QC 9,0,0.289847449,0.601262493,0,0.009468701,0.099421357,0,1710900
