,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0.001313715,0.66263794,0.003415659,0.281923279,0.049395691,0.001313715,3425400
2,Nat-ag 3,0,0.030256012,0.582104991,0.009826739,0.362813551,0.00646496,0.008533747,3480300
3,Nat-ag 6,0.013308977,0.018789144,0.778183716,0,0.14874739,0.037578288,0.003392484,3448800
4,Nat-ag 2,0,0.003836317,0.701023018,0.016624041,0.24168798,0.034015345,0.002813299,3519000
5,Nat-ag 5 old,0,0.002169786,0.722809873,0,0.24789802,0.023325197,0.003797125,3318300
6,Nat-ag 5,0.017870257,0.1625459,0.499388005,0,0.287882497,0.032313341,0,3676500
7,Half 6,0,0.165603402,0.737107921,0,0.072301967,0.023657629,0.00132908,3385800
8,Nat-ag 7,0,0.071808511,0.763031915,0.0125,0.134042553,0.018617021,0,3384000
9,Ag-nat 9,0.330662393,0.179220085,0.403846154,0.052884615,0.012286325,0.021100427,0,3369600
10,Half 9,0.186513246,0.227187584,0.496387477,0.009365801,0.02595665,0.054589243,0,3363300
11,Half 7,0.098205128,0.096923077,0.699487179,0.001794872,0.074615385,0.023333333,0.005641026,3510000
12,Ag-nat 2,0.415454089,0.053186152,0.243351731,0.007275464,0.18615153,0.093075765,0.001505268,3587400
13,Ag-nat 5,0.172971563,0.091312288,0.463866423,0.013566397,0.196190973,0.055830942,0.006261414,3449700
14,Nat-ag 4,0.010534633,0.097181986,0.608638399,0,0.229128259,0.052673163,0.001843561,3417300
15,Ag 6,0.02451352,0.249431387,0.243618903,0,0.063179176,0.419257013,0,3561300
16,Half 10,0.082886947,0.230335495,0.48153369,0.014660276,0.042571187,0.148012405,0,3192300
17,Nat-ag 9,0.017780172,0.055765086,0.610452586,0,0.05387931,0.258351293,0.003771552,3340800
18,Ag-nat 7,0.222951681,0.372636555,0.313813025,0,0.020483193,0.070115546,0,3427200
19,Half 5,0.14351726,0.117695026,0.691764066,0,0.02364773,0.019570535,0.003805382,3311100
20,Half 2,0.187600644,0.222490607,0.553408481,0,0.006977992,0.029522276,0,3353400
21,Ag-nat 3,0.49452954,0.21143326,0.243435449,0,0.001914661,0.04868709,0,3290400
22,Ag 3,0.427484787,0.380324544,0.085699797,0,0.00862069,0.074036511,0.023833671,3549600
23,Ag 5,0.00219539,0.369923161,0.558726674,0,0.030186608,0.038419319,0.000548847,3279600
24,Ag-nat 8,0.061438965,0.537321477,0.338453247,0.000269469,0.017515494,0.045001347,0,3339900
25,Nat-ag 8,0,0.027201724,0.6711554,0.000538648,0.068138971,0.226770805,0.006194452,3341700
26,Nat QC 7,0,0.012287582,0.869019608,0,0.000784314,0.088888889,0.029019608,3442500
27,Nat QC 6,0,0.055676856,0.89110262,0,0.004366812,0.045851528,0.003002183,3297600
28,Nat QC 4,0,0.003244997,0.925365062,0,0.008923743,0.060573283,0.001892915,3328200
29,Nat QC 3,0,0,0.966003317,0,0.00856827,0.025428413,0,3256200
30,Nat QC 1 alt,0,0.00707483,0.96,0,0.006258503,0.023673469,0.002993197,3307500
31,Nat QC 1 old,0,0.032683329,0.89261192,0,0.005767646,0.066190607,0.002746498,3276900
32,Nat QC 9,0.00026617,0.286398722,0.620708012,0,0.007452755,0.085174341,0,3381300
