,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0,0.507537688,0,0.366834171,0.125628141,0,179100
2,Nat-ag 3,0,0,0.65258216,0,0.300469484,0.046948357,0,191700
3,Nat-ag 6,0,0,0.516587678,0,0.402843602,0.066350711,0.014218009,189900
4,Nat-ag 2,0,0,0.550660793,0,0.422907489,0.004405286,0.022026432,204300
5,Nat-ag 5 old,0,0,0.554347826,0,0.336956522,0.108695652,0,165600
6,Nat-ag 5,0,0.068965517,0.409961686,0,0.37164751,0.149425287,0,234900
7,Half 6,0,0.055276382,0.854271357,0,0.085427136,0,0.005025126,179100
8,Nat-ag 7,0,0,0.525510204,0,0.387755102,0.086734694,0,176400
9,Ag-nat 9,0.036458333,0.046875,0.390625,0.458333333,0.067708333,0,0,172800
10,Half 9,0.042553191,0.372340426,0.473404255,0,0.031914894,0.079787234,0,169200
11,Half 7,0,0.026785714,0.705357143,0.03125,0.169642857,0.049107143,0.017857143,201600
12,Ag-nat 2,0.154166667,0,0.058333333,0,0.65,0.1375,0,216000
13,Ag-nat 5,0.062200957,0.028708134,0.397129187,0,0.401913876,0.100478469,0.009569378,188100
14,Nat-ag 4,0.064356436,0.014851485,0.361386139,0,0.48019802,0.079207921,0,181800
15,Ag 6,0.068669528,0.317596567,0.300429185,0,0.103004292,0.210300429,0,209700
16,Half 10,0,0.019607843,0.732026144,0.14379085,0.032679739,0.071895425,0,137700
17,Nat-ag 9,0,0,0.47027027,0,0.07027027,0.427027027,0.032432432,166500
18,Ag-nat 7,0.333333333,0.289215686,0.205882353,0,0.029411765,0.142156863,0,183600
19,Half 5,0.365168539,0,0.561797753,0,0.073033708,0,0,160200
20,Half 2,0,0.026737968,0.877005348,0,0.021390374,0.07486631,0,168300
21,Ag-nat 3,0.25433526,0.184971098,0.514450867,0,0,0.046242775,0,155700
22,Ag 3,0.038626609,0.454935622,0.253218884,0,0.0472103,0.145922747,0.060085837,209700
23,Ag 5,0,0.176470588,0.747058824,0,0.070588235,0.005882353,0,153000
24,Ag-nat 8,0,0.116402116,0.841269841,0.005291005,0.005291005,0.031746032,0,170100
25,Nat-ag 8,0,0,0.586021505,0,0.069892473,0.290322581,0.053763441,167400
26,Nat QC 7,0,0,0.995215311,0,0.004784689,0,0,188100
27,Nat QC 6,0,0,0.983240223,0,0,0,0.016759777,161100
28,Nat QC 4,0,0,0.977777778,0,0.016666667,0.005555556,0,162000
29,Nat QC 3,0,0,0.932515337,0,0.042944785,0.024539877,0,146700
30,Nat QC 1 alt,0,0,0.954022989,0,0.011494253,0,0.034482759,156600
31,Nat QC 1 old,0,0,1,0,0,0,0,153900
32,Nat QC 9,0,0.066666667,0.835897436,0,0.015384615,0.082051282,0,175500
