,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0.000808734,0.708855641,0.005256773,0.222401941,0.062676911,0,2225700
2,Nat-ag 3,0,0.01027262,0.644409324,0,0.335835638,0.006321612,0.003160806,2277900
3,Nat-ag 6,0,0.01752988,0.818326693,0,0.124701195,0.037848606,0.001593625,2259000
4,Nat-ag 2,0,0.003883495,0.675728155,0.022135922,0.25592233,0.04038835,0.001941748,2317500
5,Nat-ag 5 old,0,0.003334723,0.701542309,0,0.262609421,0.028345144,0.004168404,2159100
6,Nat-ag 5,0.002946593,0.152854512,0.50718232,0,0.303867403,0.033149171,0,2443500
7,Half 6,0,0.123673469,0.793877551,0,0.057142857,0.024897959,0.000408163,2205000
8,Nat-ag 7,0,0.084897959,0.736734694,0.007346939,0.148571429,0.02244898,0,2205000
9,Ag-nat 9,0.300411523,0.169547325,0.418518519,0.071604938,0.016872428,0.023045267,0,2187000
10,Half 9,0.204844007,0.174466338,0.520935961,0.013136289,0.032430213,0.054187192,0,2192400
11,Half 7,0.099260413,0.046321526,0.748151032,0.002724796,0.079797587,0.017127287,0.006617361,2312100
12,Ag-nat 2,0.437903532,0.014812002,0.238511204,0.006076719,0.227876946,0.072540828,0.002278769,2369700
13,Ag-nat 5,0.166666667,0.071371611,0.462121212,0.020733652,0.213716108,0.059409888,0.005980861,2257200
14,Nat-ag 4,0.007258065,0.073387097,0.55,0,0.310887097,0.057258065,0.001209677,2232000
15,Ag 6,0.03457549,0.281598156,0.214752209,0,0.086438725,0.382635421,0,2342700
16,Half 10,0.071366025,0.245183888,0.490805604,0.022767075,0.027145359,0.142732049,0,2055600
17,Nat-ag 9,0,0.037806398,0.6497715,0,0.061071874,0.246780224,0.004570004,2166300
18,Ag-nat 7,0.252205293,0.361668003,0.298315958,0,0.014434643,0.073376103,0,2244600
19,Half 5,0.178541492,0.09052808,0.68650461,0,0.018021794,0.020955574,0.005448449,2147400
20,Half 2,0.165910029,0.187371028,0.600495254,0,0.009079653,0.037144036,0,2180700
21,Ag-nat 3,0.396953026,0.214557766,0.332204824,0,0.002962336,0.053322048,0,2126700
22,Ag 3,0.40437788,0.374807988,0.093317972,0,0.010752688,0.089093702,0.02764977,2343600
23,Ag 5,0,0.421298261,0.506151888,0,0.023334748,0.049215104,0,2121300
24,Ag-nat 8,0.002485501,0.550124275,0.378624689,0.00041425,0.02071251,0.047638774,0,2172600
25,Nat-ag 8,0,0.012427506,0.682270091,0,0.058823529,0.236951118,0.009527755,2172600
26,Nat QC 7,0,0.007984032,0.959281437,0,0.000798403,0.02754491,0.004391218,2254500
27,Nat QC 6,0,0.036134454,0.928571429,0,0.00210084,0.028571429,0.004621849,2142000
28,Nat QC 4,0,0,0.944839114,0,0.005850397,0.048056832,0.001253656,2153700
29,Nat QC 3,0,0,0.963613014,0,0.008989726,0.02739726,0,2102400
30,Nat QC 1 alt,0,0,0.988621997,0,0.00505689,0.003792668,0.002528445,2135700
31,Nat QC 1 old,0,0.03271028,0.912064571,0,0.00722175,0.04375531,0.004248088,2118600
32,Nat QC 9,0.000407332,0.310794297,0.588187373,0,0.010183299,0.090427699,0,2209500
