,site,crop,pasture,forested,grassland,wetland,urban_developed,water,total
1,Nat-ag 1,0,0,0.227272727,0,0.515151515,0.257575758,0,59400
2,Nat-ag 3,0,0,0.534246575,0,0.356164384,0.109589041,0,65700
3,Nat-ag 6,0,0,0.542857143,0,0.385714286,0.071428571,0,63000
4,Nat-ag 2,0,0,0.487179487,0,0.448717949,0,0.064102564,70200
5,Nat-ag 5 old,0,0,0.288461538,0,0.5,0.211538462,0,46800
6,Nat-ag 5,0,0.010752688,0.279569892,0,0.387096774,0.322580645,0,83700
7,Half 6,0,0,0.78125,0,0.203125,0,0.015625,57600
8,Nat-ag 7,0,0,0.406779661,0,0.423728814,0.169491525,0,53100
9,Ag-nat 9,0,0.016129032,0.161290323,0.774193548,0.048387097,0,0,55800
10,Half 9,0,0.416666667,0.366666667,0,0.05,0.166666667,0,54000
11,Half 7,0,0.064935065,0.545454545,0.090909091,0.220779221,0.051948052,0.025974026,69300
12,Ag-nat 2,0.069767442,0,0.069767442,0,0.604651163,0.255813953,0,77400
13,Ag-nat 5,0,0,0.376811594,0,0.347826087,0.246376812,0.028985507,62100
14,Nat-ag 4,0.071428571,0.014285714,0.257142857,0,0.514285714,0.142857143,0,63000
15,Ag 6,0,0.172839506,0.345679012,0,0.135802469,0.345679012,0,72900
16,Half 10,0,0.048780488,0.707317073,0.097560976,0.097560976,0.048780488,0,36900
17,Nat-ag 9,0,0,0.314814815,0,0.074074074,0.574074074,0.037037037,48600
18,Ag-nat 7,0.515151515,0.136363636,0.166666667,0,0.090909091,0.090909091,0,59400
19,Half 5,0.37037037,0,0.574074074,0,0.055555556,0,0,48600
20,Half 2,0,0,0.883333333,0,0.016666667,0.1,0,54000
21,Ag-nat 3,0.12962963,0.296296296,0.574074074,0,0,0,0,48600
22,Ag 3,0.036585366,0.512195122,0.231707317,0,0.085365854,0.134146341,0,73800
23,Ag 5,0,0.132075472,0.79245283,0,0.075471698,0,0,47700
24,Ag-nat 8,0,0,1,0,0,0,0,54000
25,Nat-ag 8,0,0,0.517241379,0,0.172413793,0.310344828,0,52200
26,Nat QC 7,0,0,0.986486486,0,0.013513514,0,0,66600
27,Nat QC 6,0,0,0.943396226,0,0,0,0.056603774,47700
28,Nat QC 4,0,0,0.948275862,0,0.051724138,0,0,52200
29,Nat QC 3,0,0,0.93877551,0,0.06122449,0,0,44100
30,Nat QC 1 alt,0,0,0.963636364,0,0.036363636,0,0,49500
31,Nat QC 1 old,0,0,1,0,0,0,0,45000
32,Nat QC 9,0,0.046875,0.8125,0,0.046875,0.09375,0,57600
